ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
23,1,PRI,VALERIA ALEJANDRA ARAGON CAHUICH,LIZA EUNICE ENRIQUETA TAMAYO CAB
23,1,PVEM,GUILLERMO ANDRES BRAHMS GONZALEZ,JOSE ALBERTO CAHUICH RAMIREZ 
23,1,MC,HUMBERTO HORACIO LARA GONZALEZ,ROSA EMILIA VELEZ REYES
23,1,PT,LILIANA ROMAN ALPUIN,ERANDI VIANEY MAY KOYOC
23,1,MORENA,EDGAR HUMBERTO GASCA ARCEO,ANGEL ALBERTO DUARTE PACAB
23,1,C_PAN_PRD_PESQROO,TERESA ATENEA GOMEZ RICALDE,AURORA CONCEPCION POOL CAUICH
23,1,C_PAN_PRD,TERESA ATENEA GOMEZ RICALDE,AURORA CONCEPCION POOL CAUICH
23,1,C_PAN_PESQROO,TERESA ATENEA GOMEZ RICALDE,AURORA CONCEPCION POOL CAUICH
23,1,C_PRD_PESQROO,TERESA ATENEA GOMEZ RICALDE,AURORA CONCEPCION POOL CAUICH
23,1,PAN,TERESA ATENEA GOMEZ RICALDE,AURORA CONCEPCION POOL CAUICH
23,1,PRD,TERESA ATENEA GOMEZ RICALDE,AURORA CONCEPCION POOL CAUICH
23,1,PESQROO,TERESA ATENEA GOMEZ RICALDE,AURORA CONCEPCION POOL CAUICH
23,1,MAS,ROBERTO MARTINEZ ARAGON,RAUL FERNANDEZ LEON
23,1,CQROO,JESSICA CONTRERAS GOMEZ,GENNY CLAUDETH AGUILAR VELAZQUEZ
23,2,PRI,FRANCISCO AMARO LARA,WALTER GIOVANY PECH LEON
23,2,MC,MANUEL MAURO PRIETO LOERA,RAUL EDUARDO DELGADO ULLOA
23,2,C_PAN_PRD_PESQROO,MAURICIO DELFIN AVENDAÑO,VICTOR BERNARDO CAHUICH RAMIREZ
23,2,C_PAN_PRD,MAURICIO DELFIN AVENDAÑO,VICTOR BERNARDO CAHUICH RAMIREZ
23,2,C_PAN_PESQROO,MAURICIO DELFIN AVENDAÑO,VICTOR BERNARDO CAHUICH RAMIREZ
23,2,C_PRD_PESQROO,MAURICIO DELFIN AVENDAÑO,VICTOR BERNARDO CAHUICH RAMIREZ
23,2,PAN,MAURICIO DELFIN AVENDAÑO,VICTOR BERNARDO CAHUICH RAMIREZ
23,2,PRD,MAURICIO DELFIN AVENDAÑO,VICTOR BERNARDO CAHUICH RAMIREZ
23,2,PESQROO,MAURICIO DELFIN AVENDAÑO,VICTOR BERNARDO CAHUICH RAMIREZ
23,2,C_PVEM_PT_MORENA,HERNAN VILLATORO BARRIOS,CHRISTIAN ANTONIO HERRERA ARZAPALO
23,2,C_PT_MORENA,HERNAN VILLATORO BARRIOS,CHRISTIAN ANTONIO HERRERA ARZAPALO
23,2,C_PVEM_MORENA,HERNAN VILLATORO BARRIOS,CHRISTIAN ANTONIO HERRERA ARZAPALO
23,2,C_PVEM_PT,HERNAN VILLATORO BARRIOS,CHRISTIAN ANTONIO HERRERA ARZAPALO
23,2,MORENA,HERNAN VILLATORO BARRIOS,CHRISTIAN ANTONIO HERRERA ARZAPALO
23,2,PT,HERNAN VILLATORO BARRIOS,CHRISTIAN ANTONIO HERRERA ARZAPALO
23,2,PVEM,HERNAN VILLATORO BARRIOS,CHRISTIAN ANTONIO HERRERA ARZAPALO
23,2,MAS,JUAN CARLOS CONDE REYES,FERNANDO RIVERA DOMINGUEZ
23,2,CQROO,ROLANDO ALVARADO VAZQUEZ,VERONICA GARCIA GONZALEZ
23,3,PRI,MARICRUZ VARGAS ACEVES,MARGARITA MORENO CUATECONTZI
23,3,MC,MARLENE BEATRIZ CALDERON MEX,MARIA ELENA VILLALOBOS DZIB
23,3,C_PAN_PRD_PESQROO,GREGORIO SANCHEZ MARTINEZ,ALEJANDRO LUNA LOPEZ
23,3,C_PAN_PRD,GREGORIO SANCHEZ MARTINEZ,ALEJANDRO LUNA LOPEZ
23,3,C_PAN_PESQROO,GREGORIO SANCHEZ MARTINEZ,ALEJANDRO LUNA LOPEZ
23,3,C_PRD_PESQROO,GREGORIO SANCHEZ MARTINEZ,ALEJANDRO LUNA LOPEZ
23,3,PAN,GREGORIO SANCHEZ MARTINEZ,ALEJANDRO LUNA LOPEZ
23,3,PRD,GREGORIO SANCHEZ MARTINEZ,ALEJANDRO LUNA LOPEZ
23,3,PESQROO,GREGORIO SANCHEZ MARTINEZ,ALEJANDRO LUNA LOPEZ
23,3,C_PVEM_PT_MORENA,WILBERT ALBERTO BATUN CHULIM,JULIO EFREN MONTENEGRO AGUILAR
23,3,C_PT_MORENA,WILBERT ALBERTO BATUN CHULIM,JULIO EFREN MONTENEGRO AGUILAR
23,3,C_PVEM_MORENA,WILBERT ALBERTO BATUN CHULIM,JULIO EFREN MONTENEGRO AGUILAR
