sep=|
DIPUTACIONES LOCALES
2019/06/03 05:47 (UTC-5)
ACTAS_ESPERADAS|ACTAS_REGISTRADAS|ACTAS_FUERA_CATALOGO|ACTAS_CAPTURADAS|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|PORCENTAJE_ACTAS_CONTABILIZADAS|PORCENTAJE_ACTAS_INCONSISTENCIAS|ACTAS_NO_CONTABILIZADAS|LISTA_NOMINAL_ACTAS_CONTABILIZADAS|TOTAL_VOTOS_C_CS|TOTAL_VOTOS_S_CS|PORCENTAJE_PARTICIPACION_CIUDADANA
2136|2136|0|2136|100.0000|2031|95.0842|23.0337|105|1187254|263005|262598|22.1523

CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|TOTAL_BOLETAS_SOBRANTES|TOTAL_PERSONAS_VOTARON|TOTAL_REP_PARTIDO_CI_VOTARON|TOTAL_VOTOS_SACADOS|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CQROO|PESQROO|C_PAN_PRD_PESQROO|C_PAN_PRD|C_PAN_PESQROO|C_PRD_PESQROO|C_PVEM_PT_MORENA|C_PVEM_PT|C_PVEM_MORENA|C_PT_MORENA|CAND_IND_1|CAND_IND_2|CAND_IND_3|NO_REGISTRADOS|NULOS|TOTAL_VOTOS_ASENTADO|TOTAL_VOTOS_CALCULADO|LISTA_NOMINAL|REPRESENTANTES_PP_CI|OBSERVACIONES|CONTABILIZADA|MECANISMOS_TRASLADO|SHA|FECHA_HORA_ACOPIO|FECHA_HORA_CAPTURA|FECHA_HORA_VERIFICACION|ORIGEN|DIGITALIZACION|TIPO_DOCUMENTO
="230085B0100"|230085B010002|23|QUINTANA ROO|1|DISTRITO 1|85|1|B|0|1|2|426|71|6|77|7|7|2|18|2|3|25|4|4|1|0|0|0|0|0|0|0|0|-|-|-|0|4|77|77|483|6||1|F|0973081e80ff64899e05a43f078c5f2d104b5458ff04560cd608ec120d9c9014|2019-06-03 02:45:00|2019-06-03 02:56:32|2019-06-03 03:07:10|CATD|ESCANER|ACTA PREP
="230085C0100"|230085C010002|23|QUINTANA ROO|1|DISTRITO 1|85|1|C|0|1|2|429|64|5|0|2|11|0|23|6|3|11|3|2|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|0|0|0|0|-|-|-|SIN DATO|7|69|69|482|5|ALGUN DATO ILEGIBLE O SIN DATO|1|F|ad24402498885a4361e818743c546395e60f8bc28cba8b581a65c66d602050b0|2019-06-03 02:46:00|2019-06-03 02:54:44|2019-06-03 02:59:17|CATD|ESCANER|ACTA PREP
="230086B0100"|230086B010002|23|QUINTANA ROO|1|DISTRITO 1|86|1|B|0|1|2|455|107|6|113|5|8|3|37|0|3|30|8|7|3|0|1|0|0|0|0|0|0|-|-|-|0|8|113|113|548|6||1|F|a2ffedd99dde177fbf5e9a6b332631d4141057a5bddc32b45c98cd831db2eefb|2019-06-03 02:33:00|2019-06-03 02:49:51|2019-06-03 02:55:27|CATD|ESCANER|ACTA PREP
="230086C0100"|230086C010002|23|QUINTANA ROO|1|DISTRITO 1|86|1|C|0|1|2|486|75|6|81|4|10|6|20|3|3|21|0|3|3|1|0|0|0|0|0|0|0|-|-|-|1|6|81|81|547|6||1|F|2aeec7aea50725092bea9a16c03c1e8b2627d87fec0706ec4857cfd1b0ab46b3|2019-06-03 02:34:00|2019-06-03 02:49:07|2019-06-03 02:52:24|CATD|ESCANER|ACTA PREP
="230087B0100"|230087B010002|23|QUINTANA ROO|1|DISTRITO 1|87|1|B|0|1|2|324|84|4|88|3|13|1|33|3|1|19|7|3|1|0|0|0|0|0|0|0|0|-|-|-|0|4|88|88|392|4||1|F|148a96932eeb1285700656f90370fb44b388edf3fc9e242ebc75a6744acabe85|2019-06-03 02:42:00|2019-06-03 02:53:47|2019-06-03 03:00:04|CATD|ESCANER|ACTA PREP
="230087C0100"|230087C010002|23|QUINTANA ROO|1|DISTRITO 1|87|1|C|0|1|2|330|81|SIN DATO|81|2|11|3|22|3|2|25|7|1|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|0|0|0|0|-|-|-|SIN DATO|SIN DATO|81|77|391|0|ALGUN DATO ILEGIBLE O SIN DATO|1|F|cb20519eecd88d210bcf0d73280688cd4d0abb9521f15d1a884915742ab92937|2019-06-03 02:39:00|2019-06-03 02:49:18|2019-06-03 02:53:58|CATD|ESCANER|ACTA PREP
="230088B0100"|230088B010002|23|QUINTANA ROO|1|DISTRITO 1|88|1|B|0|1|2|530|126|2|128|5|11|1|39|7|8|25|8|6|5|3|0|0|0|0|0|0|0|-|-|-|0|10|128|128|638|2||1|F|941d6c3641ec2183040a1fdc9488a732ac71f40cc9c7c73270b02ffb62a2f0a0|2019-06-03 02:40:00|2019-06-03 02:47:45|2019-06-03 03:01:02|CATD|ESCANER|ACTA PREP
="230089B0100"|230089B010002|23|QUINTANA ROO|1|DISTRITO 1|89|1|B|0|1|2|425|127|7|134|8|16|2|42|18|2|27|2|2|4|SIN DATO|SIN DATO|SIN DATO|SIN DATO|0|0|0|0|-|-|-|SIN DATO|11|134|134|539|7|ALGUN DATO ILEGIBLE O SIN DATO|1|F|61caf50c43ff35cf983aeb3b8f477d89f1a22cb60d2aee13ba4d62c81d92ab4f|2019-06-03 12:49:00|2019-06-03 01:05:34|2019-06-03 01:09:33|CATD|ESCANER|ACTA PREP
="230090B0100"|230090B010002|23|QUINTANA ROO|1|DISTRITO 1|90|1|B|0|1|2|0|0|0|0|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|-|-|-|SIN DATO|SIN DATO|0|0|631|0|TODOS ILEGIBLES O SIN DATO|0|F|6ee7b0c365c6d8eda3cd83b9534701f6c90973a2fe48544e6fa58d073d99db5c|2019-06-03 12:36:00|2019-06-03 04:51:11|2019-06-03 04:54:34|CATD|ESCANER|ACTA PREP
="230090C0100"|230090C010002|23|QUINTANA ROO|1|DISTRITO 1|90|1|C|0|1|2|527|120|4|124|23|13|0|18|6|15|25|4|1|3|0|1|0|0|0|0|0|0|-|-|-|0|15|124|124|631|4||1|F|9e14e668ccc1c52c8ef02a02fc074bc8cadbcc4aafe6be6de4fe3a8030847b28|2019-06-02 12:50:00|2019-06-03 01:06:17|2019-06-03 01:18:11|CATD|ESCANER|ACTA PREP
="230091B0100"|230091B010002|23|QUINTANA ROO|1|DISTRITO 1|91|1|B|0|1|2|498|179|4|179|22|19|2|46|10|7|53|4|1|1|0|1|0|0|0|0|0|0|-|-|-|0|12|179|178|657|4||1|F|21d6f0fed6e5e72bd7170bcee4fd5b672a655a88d920c1d867c1f8c34e88509e|2019-06-03 00:28:00|2019-06-03 01:15:43|2019-06-03 01:29:01|CATD|ESCANER|ACTA PREP
="230091C0100"|230091C010002|23|QUINTANA ROO|1|DISTRITO 1|91|1|C|0|1|2|514|160|5|162|22|12|3|37|8|8|55|2|8|2|1|0|0|0|0|0|0|0|-|-|-|0|4|162|162|656|5||1|F|ae5c42be56012e80a2384cb57bfc9b5797e7e70815d7ad58013c3f1f90e9bffb|2019-06-03 12:37:00|2019-06-03 01:11:51|2019-06-03 01:19:50|CATD|ESCANER|ACTA PREP
="230092B0100"|230092B010002|23|QUINTANA ROO|1|DISTRITO 1|92|1|B|0|1|2|535|124|6|130|24|7|5|30|5|7|33|1|3|1|2|0|1|0|0|0|0|0|-|-|-|0|11|130|130|632|6||1|F|8ba110dfce7f62cfc0a560fd4d79271d33caaf00318d560b2a651b5a0ee346ff|2019-06-03 00:26:00|2019-06-03 00:49:03|2019-06-03 01:01:19|CATD|ESCANER|ACTA PREP
="230092C0100"|230092C010002|23|QUINTANA ROO|1|DISTRITO 1|92|1|C|0|1|2|539|102|4|102|27|7|5|23|6|8|20|1|4|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|0|0|0|0|-|-|-|SIN DATO|10|SIN DATO|112|631|4|ALGUN DATO ILEGIBLE O SIN DATO|1|F|90d3f8569acc9cd32bef3bc8b64ac96d1a0c61e1539ee964b6de8a71bd43c841|2019-06-03 12:52:00|2019-06-03 01:25:47|2019-06-03 01:30:52|CATD|ESCANER|ACTA PREP
="230093B0100"|230093B010002|23|QUINTANA ROO|1|DISTRITO 1|93|1|B|0|1|2|505|146|3|150|30|7|1|47|4|7|28|4|8|2|0|0|0|0|0|0|0|0|-|-|-|2|10|150|150|634|3||1|F|816ad51fe96ca99e3cb806b82aea866ebdc0f4ead62fb550accdc0aae842a46f|2019-06-02 00:25:00|2019-06-03 00:59:01|2019-06-03 01:15:38|CATD|ESCANER|ACTA PREP
="230093C0100"|230093C010002|23|QUINTANA ROO|1|DISTRITO 1|93|1|C|0|1|2|653|111|8|0|35|10|1|31|1|8|17|3|5|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|0|0|0|0|-|-|-|SIN DATO|SIN DATO|SIN DATO|113|633|0|ALGUN DATO ILEGIBLE O SIN DATO|1|F|e9db137060fa2a303ce5de2f5605ad5d9d1e37bb03b566073ec11f3a3d1d4a17|2019-06-03 00:34:00|2019-06-03 00:57:32|2019-06-03 01:06:07|CATD|ESCANER|ACTA PREP
="230093C0200"|230093C020002|23|QUINTANA ROO|1|DISTRITO 1|93|2|C|0|1|2|545|104|4|108|23|2|1|27|3|11|24|6|2|2|0|0|0|0|0|0|0|0|-|-|-|1|6|108|108|633|4||1|F|1d2f4fdc61f292d495b5f8e1154a06af07ff03e0e5208c3b60cc51fba614d2e7|2019-06-03 12:49:00|2019-06-03 03:44:29|2019-06-03 03:47:23|CATD|ESCANER|ACTA PREP
="230094B0100"|230094B010002|23|QUINTANA ROO|1|DISTRITO 1|94|1|B|0|1|2|488|181|5|186|29|17|8|49|11|2|46|1|4|3|0|1|0|1|0|0|0|0|-|-|-|0|14|186|186|654|5||1|F|2ea3de87e39c9e44845e699fc303b6cd8821f7050e8d46e3a9185cfd00de76a6|2019-06-03 01:05:00|2019-06-03 04:27:48|2019-06-03 04:49:32|CATD|ESCANER|ACTA PREP
="230094C0100"|230094C010002|23|QUINTANA ROO|1|DISTRITO 1|94|1|C|0|1|2|495|174|5|179|15|15|4|51|5|7|45|8|1|6|0|1|0|0|0|0|0|0|-|-|-|0|21|179|179|654|5||1|F|daae11e65e3071e46d8e723868aa750652a734311d290e91cb9e85277747eb9f|2019-06-02 00:22:00|2019-06-03 00:31:28|2019-06-03 00:36:19|CATD|ESCANER|ACTA PREP
